waypoint1	waypoint2	distance_m	duration_s
208 Broadway, Barnegat Light, NJ 08006	Beach Ave, Cape May, NJ 08204	132516	5745
600 Boardwalk, Ocean City, NJ 08226	1000 Ocean Ave, Asbury Park, NJ 07712	131285	5335
521 NJ-47, Cape May, NJ 08204	1 Audrey Zapp Drive, Jersey City, NJ 07305	242630	8574
600 Boardwalk, Ocean City, NJ 08226	1 Ocean Ave, Ocean Grove, NJ 07756	128926	5408
521 NJ-47, Cape May, NJ 08204	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	62621	2720
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	521 NJ-47, Cape May, NJ 08204	118831	4912
1 Metlife Stadium Dr, East Rutherford, NJ 07073	215 Light House Ave, Cape May Point, NJ 08212	256296	9243
1 Hudson Pl, Hoboken, NJ 07030	40.238645, -74.721615	106517	4216
1 Metlife Stadium Dr, East Rutherford, NJ 07073	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	191768	6759
320 7th St, Beach Haven, NJ 08008	211 Main St, West Orange, NJ 07052	160602	6455
1 Borgata Way, Atlantic City, NJ 08401	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	21232	1038
600 Boardwalk, Ocean City, NJ 08226	McCormick Hall, Princeton, NJ 08544	167122	6547
168 Stevens St, West Cape May, NJ 08204	651 Kapkowski Rd, Elizabeth, NJ 07201	236124	8269
1 Audrey Zapp Drive, Jersey City, NJ 07305	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	189052	6721
1 Audrey Zapp Drive, Jersey City, NJ 07305	40.238645, -74.721615	103150	3965
1 Audrey Zapp Drive, Jersey City, NJ 07305	215 Light House Ave, Cape May Point, NJ 08212	252370	9137
1 Audrey Zapp Drive, Jersey City, NJ 07305	1 Borgata Way, Atlantic City, NJ 08401	194471	7101
521 NJ-47, Cape May, NJ 08204	1 Ocean Ave, Ocean Grove, NJ 07756	169490	6416
521 NJ-47, Cape May, NJ 08204	1000 Ocean Ave, Asbury Park, NJ 07712	171850	6343
215 Light House Ave, Cape May Point, NJ 08212	McCormick Hall, Princeton, NJ 08544	217596	8158
McCormick Hall, Princeton, NJ 08544	40.238645, -74.721615	16785	1133
208 Broadway, Barnegat Light, NJ 08006	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	73287	3580
651 Kapkowski Rd, Elizabeth, NJ 07201	39.102851, -74.814134	212365	7313
521 NJ-47, Cape May, NJ 08204	500 Forrestal Rd, Rio Grande, NJ 08242	8297	561
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	168 Stevens St, West Cape May, NJ 08204	147596	5609
1 Hudson Pl, Hoboken, NJ 07030	211 Main St, West Orange, NJ 07052	23010	1745
560 Northfield Ave, West Orange, NJ 07052	39.102851, -74.814134	227588	8043
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	1 Ocean Ave, Ocean Grove, NJ 07756	129272	5234
320 7th St, Beach Haven, NJ 08008	1 Borgata Way, Atlantic City, NJ 08401	76850	3845
1 Metlife Stadium Dr, East Rutherford, NJ 07073	McCormick Hall, Princeton, NJ 08544	80516	4031
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	1000 Ocean Ave, Asbury Park, NJ 07712	119821	5285
6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	1000 Ocean Ave, Asbury Park, NJ 07712	118240	4557
215 Light House Ave, Cape May Point, NJ 08212	1000 Ocean Ave, Asbury Park, NJ 07712	182713	7078
1000 Ocean Ave, Asbury Park, NJ 07712	40.238645, -74.721615	79043	3302
1 Audrey Zapp Drive, Jersey City, NJ 07305	1 Ocean Ave, Ocean Grove, NJ 07756	89236	4043
1 Hudson Pl, Hoboken, NJ 07030	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	70111	3215
320 7th St, Beach Haven, NJ 08008	560 Northfield Ave, West Orange, NJ 07052	163253	6676
320 7th St, Beach Haven, NJ 08008	39.102851, -74.814134	107868	4644
1 Metlife Stadium Dr, East Rutherford, NJ 07073	1 Audrey Zapp Drive, Jersey City, NJ 07305	26487	1557
600 Boardwalk, Ocean City, NJ 08226	39.102851, -74.814134	32430	1952
1 Borgata Way, Atlantic City, NJ 08401	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	197563	6878
208 Broadway, Barnegat Light, NJ 08006	1 Ocean Ave, Ocean Grove, NJ 07756	91774	4533
1 Metlife Stadium Dr, East Rutherford, NJ 07073	1 Ocean Ave, Ocean Grove, NJ 07756	92841	4109
168 Stevens St, West Cape May, NJ 08204	1 Audrey Zapp Drive, Jersey City, NJ 07305	250427	8990
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	McCormick Hall, Princeton, NJ 08544	83979	3528
1 Metlife Stadium Dr, East Rutherford, NJ 07073	168 Stevens St, West Cape May, NJ 08204	253644	9001
Hudson River Waterfront Walkway, Jersey City, NJ 07302	McCormick Hall, Princeton, NJ 08544	78355	4112
168 Stevens St, West Cape May, NJ 08204	McCormick Hall, Princeton, NJ 08544	214498	7906
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	103564	5207
